Row ID,Order ID,Order Date,Ship Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,City,Zip Code,State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin
3,32,2019-07-15,2019-07-17,High,26,2808.08,0.07,Regular Air,1054.82,107.53,5.81,Liz Pelletier,Elk Plain,98387,Washington,West,Corporate,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Medium Box,0.65
4,32,2019-07-15,2019-07-16,High,24,1761.4,0.09,Delivery Truck,-1748.56,70.89,89.3,Liz Pelletier,Elk Plain,98387,Washington,West,Corporate,Furniture,Tables,KI Conference Tables,Jumbo Box,0.72
5,32,2019-07-15,2019-07-17,High,23,160.2335,0.04,Regular Air,-85.129,7.99,5.03,Liz Pelletier,Elk Plain,98387,Washington,West,Corporate,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6
6,32,2019-07-15,2019-07-16,High,15,140.56,0.04,Regular Air,-128.38,8.46,8.99,Liz Pelletier,High Point,27260,North Carolina,South,Corporate,Technology,Computer Peripherals,"Imation 3.5 IBM Diskettes, 10/Box",Small Pack,0.79
7,35,2019-10-22,2019-10-23,Not Specified,30,288.56,0.03,Regular Air,60.72,9.11,2.25,Julie Creighton,Ames,50010,Iowa,Central,Corporate,Office Supplies,Pens & Art Supplies,Dixon Ticonderoga Core-Lock Colored Pencils,Wrap Bag,0.52
8,35,2019-10-22,2019-10-24,Not Specified,14,1892.848,0.01,Regular Air,48.987,155.99,8.99,Julie Creighton,Ames,50010,Iowa,Central,Corporate,Technology,Telephones and Communication,CF 688,Small Box,0.58
9,36,2019-11-02,2019-11-02,Critical,46,2484.7455,0.1,Regular Air,657.477,65.99,4.2,Sample Company A,Albany,97321,Oregon,West,Home Office,Technology,Telephones and Communication,6162i,Small Box,0.55
10,65,2019-03-17,2019-03-18,Critical,32,3812.73,0.02,Regular Air,1470.3,115.79,1.99,Tamara Dahlen,Pflugerville,78660,Texas,Central,Corporate,Technology,Computer Peripherals,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Small Pack,0.49
25,135,2019-10-20,2019-10-22,Not Specified,25,125.85,0.09,Regular Air,-89.25,4.98,4.62,Anne Pryor,Troy,12180,New York,East,Consumer,Technology,Computer Peripherals,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack,0.64
26,166,2019-09-11,2019-09-13,High,10,567.936,0.02,Express Air,-126.093,65.99,8.99,Valerie Takahito,Tamarac,33319,Florida,South,Consumer,Technology,Telephones and Communication,i270,Small Box,0.55
