Row ID,Order ID,Order Date,Ship Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,City,Zip Code,State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin
2,6,2020-02-20,2020-02-21,Not Specified,2,6.93,0.01,Regular Air,-4.64,2.08,2.56,Ruben Dartt,Edmonds,98026,Washington,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut® Forged Office Shears by Acme United Corporation,Small Pack,0.55
18,129,2020-11-18,2020-11-27,Low,4,32.72,0.09,Regular Air,-22.59,6.48,8.19,Pauline Chand,Moore,73160,Oklahoma,Central,Corporate,Office Supplies,Paper,Xerox 217,Small Box,0.37
19,130,2020-05-07,2020-05-09,High,3,461.89,0.05,Express Air,-309.8244,150.98,13.99,Roy Collins,Cleveland,37311,Tennessee,South,Corporate,Technology,Office Machines,Canon MP41DH Printing Calculator,Medium Box,0.38
20,130,2020-05-07,2020-05-08,High,29,575.11,0.02,Regular Air,71.75,18.97,9.03,Roy Collins,Cleveland,37311,Tennessee,South,Corporate,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37
21,130,2020-05-07,2020-05-10,High,23,236.46,0.05,Regular Air,-134.31,9.71,9.45,Roy Collins,Cleveland,37311,Tennessee,South,Corporate,Office Supplies,Storage & Organization,Filing/Storage Totes and Swivel Casters,Small Box,0.6
24,134,2020-04-30,2020-05-02,Not Specified,11,1132.6,0.01,Regular Air,-310.21,95.99,35,Michael Dominguez,Brookfield,53005,Wisconsin,Central,Home Office,Office Supplies,Storage & Organization,Safco Industrial Wire Shelving,Large Box,
28,194,2020-04-04,2020-04-06,Medium,49,329.03,0.1,Regular Air,-197.25,7.28,7.98,Maria Zettner,West Linn,97068,Oregon,West,Corporate,Furniture,Office Furnishings,"Master Caster Door Stop, Large Neon Orange",Wrap Bag,0.42
29,194,2020-04-04,2020-04-06,Medium,6,20.19,0.04,Regular Air,-13.44,3.14,1.92,Maria Zettner,West Linn,97068,Oregon,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Serrated Blade or Curved Handle Hand Letter Openers,Wrap Bag,0.84
48,292,2020-01-12,2020-01-13,High,43,412.62,0.08,Regular Air,175.54,9.9,1.39,Valerie Takahito,Taylors,29687,South Carolina,South,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,Small Box,0.37
49,293,2020-10-01,2020-10-02,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Barry French,Tinley Park,60477,Illinois,Central,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58
50,293,2020-10-01,2020-10-03,High,27,244.57,0.01,Regular Air,46.7075,8.69,2.99,Barry French,Tinley Park,60477,Illinois,Central,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39
52,322,2020-03-18,2020-03-20,Critical,20,2634.8555,0.08,Regular Air,257.76,155.99,8.08,Giulietta Weimer,Allen Park,48101,Michigan,Central,Corporate,Technology,Telephones and Communication,I888 World Phone,Small Box,0.6
53,322,2020-03-18,2020-03-20,Critical,46,281,0.1,Regular Air,-291.59,6.48,10.05,Giulietta Weimer,Ann Arbor,48104,Michigan,Central,Corporate,Office Supplies,Paper,Xerox 1997,Small Box,0.37
